2026-04-21 18:29:56,646 src.training.trainer INFO: Epoch 1/200 (202.7s) - train_loss: 5.0018, val_loss: 4.1308, R@1_a2c: 0.007, R@5_a2c: 0.034, temp: 0.0700
2026-04-21 18:31:06,858 src.training.trainer INFO: Epoch 2/200 (64.0s) - train_loss: 4.4632, val_loss: 4.0479, R@1_a2c: 0.000, R@5_a2c: 0.007, temp: 0.0701
2026-04-21 18:32:15,995 src.training.trainer INFO: Epoch 3/200 (62.4s) - train_loss: 3.9861, val_loss: 3.7380, R@1_a2c: 0.014, R@5_a2c: 0.027, temp: 0.0702
2026-04-21 18:33:24,060 src.training.trainer INFO: Epoch 4/200 (61.5s) - train_loss: 3.7432, val_loss: 3.5564, R@1_a2c: 0.000, R@5_a2c: 0.034, temp: 0.0702
2026-04-21 18:34:32,474 src.training.trainer INFO: Epoch 5/200 (62.0s) - train_loss: 3.6446, val_loss: 3.5303, R@1_a2c: 0.000, R@5_a2c: 0.014, temp: 0.0703
2026-04-21 18:35:40,117 src.training.trainer INFO: Epoch 6/200 (61.5s) - train_loss: 3.6083, val_loss: 3.4956, R@1_a2c: 0.014, R@5_a2c: 0.081, temp: 0.0704
2026-04-21 18:36:48,862 src.training.trainer INFO: Epoch 7/200 (62.1s) - train_loss: 3.5916, val_loss: 3.4801, R@1_a2c: 0.000, R@5_a2c: 0.061, temp: 0.0704
2026-04-21 18:37:56,384 src.training.trainer INFO: Epoch 8/200 (61.2s) - train_loss: 3.5731, val_loss: 3.4555, R@1_a2c: 0.020, R@5_a2c: 0.068, temp: 0.0704
2026-04-21 18:39:05,287 src.training.trainer INFO: Epoch 9/200 (62.4s) - train_loss: 3.5429, val_loss: 3.4322, R@1_a2c: 0.007, R@5_a2c: 0.061, temp: 0.0705
2026-04-21 18:40:13,421 src.training.trainer INFO: Epoch 10/200 (61.8s) - train_loss: 3.5205, val_loss: 3.4256, R@1_a2c: 0.020, R@5_a2c: 0.054, temp: 0.0705
2026-04-21 18:41:21,392 src.training.trainer INFO: Epoch 11/200 (61.6s) - train_loss: 3.4957, val_loss: 3.4226, R@1_a2c: 0.000, R@5_a2c: 0.047, temp: 0.0705
2026-04-21 18:42:30,098 src.training.trainer INFO: Epoch 12/200 (61.9s) - train_loss: 3.4979, val_loss: 3.4061, R@1_a2c: 0.014, R@5_a2c: 0.108, temp: 0.0705
2026-04-21 18:43:37,348 src.training.trainer INFO: Epoch 13/200 (61.0s) - train_loss: 3.4880, val_loss: 3.3875, R@1_a2c: 0.020, R@5_a2c: 0.068, temp: 0.0706
2026-04-21 18:44:45,458 src.training.trainer INFO: Epoch 14/200 (61.9s) - train_loss: 3.4775, val_loss: 3.3736, R@1_a2c: 0.034, R@5_a2c: 0.101, temp: 0.0706
2026-04-21 18:45:53,580 src.training.trainer INFO: Epoch 15/200 (61.8s) - train_loss: 3.4730, val_loss: 3.3976, R@1_a2c: 0.014, R@5_a2c: 0.047, temp: 0.0706
2026-04-21 18:46:58,092 src.training.trainer INFO: Epoch 16/200 (61.3s) - train_loss: 3.4691, val_loss: 3.3709, R@1_a2c: 0.034, R@5_a2c: 0.108, temp: 0.0706
2026-04-21 18:48:05,666 src.training.trainer INFO: Epoch 17/200 (61.3s) - train_loss: 3.4708, val_loss: 3.3903, R@1_a2c: 0.027, R@5_a2c: 0.074, temp: 0.0707
2026-04-21 18:49:09,939 src.training.trainer INFO: Epoch 18/200 (61.1s) - train_loss: 3.4517, val_loss: 3.3917, R@1_a2c: 0.007, R@5_a2c: 0.074, temp: 0.0707
2026-04-21 18:50:13,764 src.training.trainer INFO: Epoch 19/200 (60.8s) - train_loss: 3.4498, val_loss: 3.3680, R@1_a2c: 0.014, R@5_a2c: 0.095, temp: 0.0707
2026-04-21 18:51:21,440 src.training.trainer INFO: Epoch 20/200 (61.6s) - train_loss: 3.4419, val_loss: 3.3565, R@1_a2c: 0.027, R@5_a2c: 0.088, temp: 0.0707
2026-04-21 18:52:28,234 src.training.trainer INFO: Epoch 21/200 (60.8s) - train_loss: 3.4404, val_loss: 3.3701, R@1_a2c: 0.014, R@5_a2c: 0.047, temp: 0.0707
2026-04-21 18:53:32,587 src.training.trainer INFO: Epoch 22/200 (61.3s) - train_loss: 3.4400, val_loss: 3.3452, R@1_a2c: 0.020, R@5_a2c: 0.088, temp: 0.0708
2026-04-21 18:54:40,190 src.training.trainer INFO: Epoch 23/200 (61.4s) - train_loss: 3.4463, val_loss: 3.3591, R@1_a2c: 0.014, R@5_a2c: 0.074, temp: 0.0708
